Date,Title,Excerpt,Category
22-07-2022,"Uefa Opens Proceedings against Barcelona, Juventus and Real Madrid Over European Super League Plan","Uefa has opened disciplinary proceedings against Barcelona, Juventus and Real Madrid over their involvement in the proposed European Super League.",sports
03-02-2023,Amazon Blames Inflation as It Increases Cost of Prime in Europe,The increases are steeper than the 17 percent jump in the Prime membership price that came into effect for new,business
29-03-2021,Nigeria’s Parliament Passes Amended Electoral Bill,"Nigeria's Senate on Tuesday passed the harmonised Clause 84 of the 2010 Electoral Act (Amendment) Bill 2022, which allows political",politics
31-12-2020,"Nigeria: Lagos Governor Tests Positive for Covid-19, Kaduna Governor Self-Isolates","The Lagos State Governor, Mr. Babajide Sanwo-Olu, has tested positive for Covid-19, Commissioner for Health, Professor Akin Abayomi, has said.",health
08-06-2020,South Africa Calls For Calm as Electoral Reform Protests Continue in Eswatini,South Africa has raised concerns about the deteriorating situation in the Kingdom of Eswatini with demonstrators in a sixth-day protest,politics
04-11-2021,Guardiola To Leave Man City When Contract Expires in 2023,Pep Guardiola has said that he will leave Manchester City when his contract runs out in 2023 - and hopes,sports
24-07-2019,Nigeria: Sultan of Sokoto Seeks Removal of Immunity Clause for Politicians,"The Sultan of Sokoto and President-General of the Nigeria Supreme Council for Islamic Affairs, Alhaji Sa’ad Abubakar, has called for",politics
30-10-2020,"Again, Nigeria Senate Demands Rejig of Nigeria’s Security Architecture","Nigerian Senators have commenced legislative activities for the year by asking the country's President, Muhammadu Buhari to direct the National Security Adviser, the",politics
03-07-2021,"Nigeria: South-East’s Most Important  Demand is Reintegration, Agitations Will End with Igbo Presidency, Says Ex-Senate President Anyim","Former Senate President and presidential hopeful on the platform of the Peoples Democratic Party (PDP), Senator Anyim Pius Anyim, has",politics
24-07-2020,Premier League Clubs Reject ‘Project Big Picture’,"Premier League clubs have ""unanimously agreed"" that 'Project Big Picture' will not be endorsed or pursued. The controversial plans, proposed",sports
08-07-2019,"Nigeria: With Advancement in Technology, No One Can Claim Millions of Votes Again, Buhari Says","President Muhammadu Buhari, on Tuesday, assured the Nigerian people that with advancement in technology by the Independent National Electoral Commission",politics
07-03-2020,"Old Trafford Modified for 23,500 Socially Distanced Fans","Manchester United have modified Old Trafford to accommodate 23,500 socially distanced spectators, and insists they are ""bemused"" by the ongoing",sports
01-05-2021,CBN Eyes $200bn from Fresh Non-Oil Exports,"The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, on Thursday announced a new programme to stimulate",business
19-05-2022,Brilliant Brentford Beat Arsenal After 75-year Exile From England’s Top Flight,Brentford got the better of Arsenal in the first match of the 2021-22 Premier League season at the Community Stadium,sports
09-11-2021,"Putin Signs Law Forcing Twitter, Facebook, Other Social Media Giants to Open Russian Offices",Russian president on Thursday signed a law demanding large social media companies that operate in the country to open offices,tech
27-11-2019,Buhari Returns Ownership of Four Oil Blocks to NNPC,Nigeria's President Muhammadu Buhari has approved the restoration of the leases on four Oil Mining Licences to the state-owned petroleum,business
